name,rating,atnm,region_name,outdoor_swimming_pool,restaurant,excellent_breakfast,free_parking,free_wifi,fitness_center,breakfast,bar,very_good_breakfast,indoor_swimming_pool,spa,3_swimming_pools,2_swimming_pools,4_swimming_pools,room_service,beachfront,private_beach_area,wifi_in_all_areas
Stevens Inn,7.9,Motels,New Mexico,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Rodeway Inn of Espanola,5.4,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Home2 Suites By Hilton Alamogordo White Sands,9,Hotels,New Mexico,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Quality Inn & Suites Near White Sands National Monument,7.7,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Moriarty,6.9,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lodge at Red River,7.6,Hotels,New Mexico,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Copper Manor Motel,7.8,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Days Inn by Wyndham Roswell,8,Motels,New Mexico,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Comfort Suites,8.5,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
Lundeen Inn of the Arts,9.2,Inns,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Quality Inn Rio Rancho,7.1,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Casa Benavides Inn,8.8,Inns,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rodeway Inn,6.7,Hotels,New Mexico,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Days Inn by Wyndham Rio Rancho,7.2,Motels,New Mexico,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
The Chi-Treehouse at Sunny Mellow Eco Villa,9.7,Villas,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Regal Inn Las Vegas New Mexico,6.5,Inns,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Tucumcari,6.8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Travelodge by Wyndham Santa Teresa,8.4,Hotels,New Mexico,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Hilton Garden Inn Albuquerque North/Rio Rancho,8.4,Hotels,New Mexico,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Comfort Inn & Suites Los Alamos,7.6,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Best Western Pine Springs Inn,8.1,Hotels,New Mexico,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
La Quinta by Wyndham Tucumcari,7.8,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Ramada by Wyndham Albuquerque Midtown,6.2,Hotels,New Mexico,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0
Shadow Mountain Lodge and Cabins,8.9,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitzmark Chalet Inn,9.3,Lodges,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
MCM Elegante Lodge & Resorts,8.8,Hotels,New Mexico,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Sleep Inn & Suites,7.9,Hotels,New Mexico,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Comfort Inn Near Gila National Forest,7.8,Hotels,New Mexico,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Tiara Del Sol,8.2,Condo Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Cozy Little Bear Cabin,9.6,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Taos Motor Lodge,8.7,Hotels,New Mexico,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super 8 by Wyndham Socorro,5.4,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Chama Hotel & Shops,7.4,Hotels,New Mexico,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Cottam's Lodge by Alpine Village Suites,7.9,Lodges,New Mexico,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Hacienda Del Sol,9,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Dreamcatcher B&B,9.4,Bed and Breakfasts,New Mexico,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Americas Best Value Inn Santa Rosa, New Mexico",7.6,Motels,New Mexico,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Whispering Pine Cabins,8.2,Vacation Homes,New Mexico,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
